order_status,orders,gmv,order_share
delivered,96478,13221498.110011633,0.9702034372140264
shipped,1107,150727.43999999925,0.011132229161010046
canceled,625,95235.26999999996,0.006285133898492574
unavailable,609,2007.6900000000003,0.006124234470691163
invoiced,314,61526.370000000104,0.0031576512706026688
processing,301,60439.22000000007,0.0030269204855140233
created,5,0.0,5.028107118794059e-05
approved,2,209.60000000000002,2.0112428475176234e-05
