seller_id,orders,gmv,freight,late_rate,avg_delivery_days,median_delivery_days,avg_review,freight_to_gmv,gmv_share,cumulative_gmv_share,late_rank
2709af9587499e95e803a6498a5a56e9,26,1279.560000000001,579.4599999999998,0.5,12.73913043478261,15.0,2.5652173913043477,0.4528587952108532,0.00011462970578621901,0.9968701654058664,1
4342d4b2ba6b161468c63a7e7cfce593,20,2867.1000000000013,296.21000000000004,0.5,15.5,15.5,1.263157894736842,0.10331345261762753,0.00025684987766081183,0.9742538049018019,1
f76a3b1349b6df1ee875d1f3fa4340f0,24,4160.790000000001,588.1899999999999,0.375,16.875,15.5,3.4583333333333335,0.14136498116944132,0.0003727454230659304,0.9353276151275649,3
821fb029fc6e495ca4f08a35d51e53a5,28,19187.420000000002,1552.8300000000002,0.36,16.28,12.0,3.4285714285714284,0.0809295882406285,0.001718909866982879,0.601251796234706,4
ede0c03645598cdfc63ca8237acbe73d,46,2518.370000000001,751.5000000000003,0.3404255319148936,18.25531914893617,16.0,3.617021276595745,0.29840730313655267,0.00022560881252996359,0.981751940935046,5
54965bbe3e4f07ae045b90b0b8541f52,78,10961.299999999994,2203.5400000000004,0.32098765432098764,26.65432098765432,17.0,2.9382716049382718,0.20102907501847425,0.000981970829061928,0.7583930969617789,6
ad781527c93d00d89a11eecd9dcad7c1,44,6899.569999999994,2379.6900000000005,0.3157894736842105,25.42105263157895,21.0,3.0681818181818183,0.3449041027194452,0.000618099721116182,0.8599109071975578,7
b19f3ca2ea475913750f25a5c37c8d8f,24,6202.909999999997,1346.6399999999999,0.3157894736842105,18.36842105263158,16.0,2.7916666666666665,0.21709810395443438,0.0005556892590565467,0.8827755245618556,7
835f0f7810c76831d6c7d24c7a646d4d,44,5129.999999999998,964.0299999999999,0.3125,18.416666666666668,18.5,3.3,0.1879200779727096,0.00045957234571516987,0.9067999287313485,9
7f152321c60a266edc53af1925ef96c1,20,3919.7999999999984,552.12,0.3,23.35,15.5,3.8,0.14085412521046997,0.00035115627304762627,0.9447239551605928,10
2a1348e9addc1af5aaa619b1a3679d6b,52,2843.0000000000023,788.4000000000003,0.29411764705882354,27.215686274509803,13.0,3.0,0.27731269785437906,0.00025469087307372894,0.9747646083659077,11
4e5725ba188db8252977a4f0227bd462,22,1930.5900000000004,382.61,0.2916666666666667,20.625,17.5,3.44,0.19818293889432761,0.00017295239277080902,0.9905818683542837,12
054694fa03fe82cec4b7551487331d74,21,9983.1,720.65,0.2857142857142857,30.285714285714285,18.0,3.3636363636363638,0.07218699602327934,0.0008943385349920301,0.7751580918790923,13
66e0557ecc2b4dbea057e93f215f68d8,31,12480.0,497.99000000000007,0.26666666666666666,31.633333333333333,29.5,3.935483870967742,0.03990304487179488,0.0011180239521491856,0.7248359618997685,14
71039d19d4303bf9054d69e9a9236699,35,3537.2000000000025,621.4499999999998,0.2631578947368421,13.342105263157896,10.0,3.6842105263157894,0.17568981115006202,0.00031688095541202745,0.9601450673703725,15
6039e27294dc75811c0d8a39069f52c0,64,13670.699999999983,2376.4700000000007,0.25675675675675674,17.87837837837838,17.0,3.8266666666666667,0.17383674574089136,0.0012246931123914946,0.6873230287568081,16
a49928bcdf77c55c6d6e05e09a9b4ca5,98,8816.699999999983,1757.5499999999995,0.25,16.76923076923077,14.0,2.952830188679245,0.19934329170778217,0.0007898462963873161,0.8095613838397013,17
ef990a83bbea832f36ebe81376335aa8,43,4642.59,914.65,0.25,16.90909090909091,14.0,3.659090909090909,0.19701287427922776,0.00041590759775707434,0.9220444970755817,17
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,20,21940.8,1754.3999999999999,0.25,11.5,7.5,3.65,0.07996062130824765,0.0019655721097207412,0.5829795724437216,17
602044f2c16190c2c6e45eb35c2e21cb,50,3739.1599999999967,938.28,0.23636363636363636,15.8,13.0,2.9642857142857144,0.2509333647129304,0.0003349735930222873,0.9512692821561938,20
06a2c3af7b3aee5d69171b0e14f0ee87,392,36408.95000000018,12141.289999999983,0.236318407960199,17.65174129353234,16.0,4.0,0.3334699297837461,0.00326170498177903,0.45726521549636184,21
beadbee30901a7f61d031b6b686095ad,64,4373.98,937.54,0.23529411764705882,13.470588235294118,9.0,3.9411764705882355,0.21434483010896255,0.00039184410306261977,0.9284817296095719,22
cac4c8e7b1ca6252d8f20b2fc1a2e4af,75,4168.179999999992,1554.36,0.23170731707317074,19.829268292682926,14.0,3.5304878048780486,0.3729109587397864,0.0003734074580824666,0.9345819495901906,23
ea566164622c6b439516ab18062c42cd,50,10309.42,858.56,0.23076923076923078,14.153846153846153,10.0,3.75,0.08327917574412527,0.0009235719946126488,0.768822722256544,24
1dfe5347016252a7884b694d4f10f5c4,21,1693.4999999999998,436.22999999999985,0.23076923076923078,19.46153846153846,17.0,3.1923076923076925,0.25759078830823734,0.00015171262523755173,0.9931694066846218,24
99a54764c341d5dc80b4a8fac4eba3fb,45,3708.7600000000016,1317.5,0.22727272727272727,7.015151515151516,5.0,3.4696969696969697,0.35524002631607315,0.0003322502013439756,0.9532701795227102,26
bbad7e518d7af88a0897397ffdca1979,69,4462.220000000002,1338.1999999999996,0.2261904761904762,15.166666666666666,12.0,3.0357142857142856,0.2998955676770753,0.0003997491057499312,0.9264998897138358,27
6ec1a01e866584bb679eb9b098345919,31,4248.909999999998,814.8499999999999,0.22580645161290322,14.483870967741936,10.0,4.133333333333334,0.19177859733437524,0.00038063967552293224,0.931566345151616,28
2a261b5b644fa05f4f2700eb93544f2c,51,5355.0,2041.7300000000005,0.21951219512195122,14.378048780487806,9.0,3.3536585365853657,0.3812754435107377,0.0004797290275447828,0.9007309650453533,29
28f10b1c5e5abb9d4857745bede6147c,28,835.0,350.41999999999996,0.21428571428571427,7.607142857142857,6.5,4.0,0.41966467065868257,7.480368590100721e-05,0.9993366238922327,30
712e6ed8aa4aa1fa65dab41fed5737e4,79,39815.0,6889.130000000001,0.21176470588235294,23.68235294117647,16.0,3.453488372093023,0.17302850684415425,0.003566836831315691,0.43386677484145614,31
cfe94489ddd337d1e29e12f2a7205d10,20,2376.0,296.81999999999994,0.20833333333333334,7.708333333333333,5.5,4.125,0.1249242424242424,0.00021285456012071034,0.983497990654297,32
d13e50eaa47b4cbe9eb81465865d8cfc,67,7155.049999999993,857.79,0.20588235294117646,4.926470588235294,4.0,4.811594202898551,0.11988595467536926,0.0006409869614443127,0.8542761094796472,33
c60b801f2d52c7f7f91de00870882a75,41,12913.499999999998,739.39,0.20512820512820512,16.0,15.0,3.317073170731707,0.0572571340070469,0.001156859159140906,0.7134574558806855,34
cd68562d3f44870c08922d380acae552,125,18569.699999999997,2207.489999999999,0.20155038759689922,16.697674418604652,14.0,3.8396946564885495,0.11887591075784743,0.001663571264761597,0.6114085332040418,35
411f3b52d857390502ee4e4d5ceabc2d,21,1804.0099999999998,378.7099999999999,0.2,8.366666666666667,6.0,4.2592592592592595,0.2099267742418279,0.00016161269149973174,0.9922378562274147,36
1ca7077d890b907f89be8c954a02686a,115,13341.569999999996,1659.8599999999972,0.1968503937007874,14.984251968503937,13.0,2.198529411764706,0.12441264408911377,0.0011952079182111384,0.6982083016673731,37
88460e8ebdecbfecb5f9601833981930,248,31546.550000000156,4996.55,0.19666666666666666,18.233333333333334,16.0,3.355481727574751,0.15838657476015525,0.0028261056496532103,0.49562297340521566,38
3fd1e727ba94cfe122d165e176ce7967,37,2805.2000000000016,589.2200000000001,0.19444444444444445,15.555555555555555,13.0,3.8157894736842106,0.2100456295451304,0.00025130455052635393,0.9762774175049614,39
0bf0150d5b9d60d9cd2906003332f085,39,5774.599999999998,1097.74,0.1935483870967742,14.016129032258064,10.0,3.711864406779661,0.19009801544695745,0.0005173189995256959,0.8907901473476288,40
0d85bbda9889ce1f7e63778d24f346eb,51,4845.200000000001,1624.4999999999993,0.1896551724137931,18.20689655172414,13.0,4.211538461538462,0.33528027738793015,0.0004340584657815092,0.9143935053092772,41
e5a3438891c0bfdb9394643f95273d8e,224,7738.350000000022,3374.2699999999973,0.18218623481781376,15.34412955465587,13.0,3.8293650793650795,0.43604515174423325,0.0006932420392719291,0.8375803971091185,42
