seller_id,gmv,orders,late_rate
4342d4b2ba6b161468c63a7e7cfce593,2867.1000000000013,20,0.5
2709af9587499e95e803a6498a5a56e9,1279.560000000001,26,0.5
f76a3b1349b6df1ee875d1f3fa4340f0,4160.790000000001,24,0.375
821fb029fc6e495ca4f08a35d51e53a5,19187.420000000002,28,0.36
ede0c03645598cdfc63ca8237acbe73d,2518.370000000001,46,0.3404255319148936
54965bbe3e4f07ae045b90b0b8541f52,10961.299999999994,78,0.32098765432098764
b19f3ca2ea475913750f25a5c37c8d8f,6202.909999999997,24,0.3157894736842105
ad781527c93d00d89a11eecd9dcad7c1,6899.569999999994,44,0.3157894736842105
835f0f7810c76831d6c7d24c7a646d4d,5129.999999999998,44,0.3125
7f152321c60a266edc53af1925ef96c1,3919.7999999999984,20,0.3
2a1348e9addc1af5aaa619b1a3679d6b,2843.0000000000023,52,0.29411764705882354
4e5725ba188db8252977a4f0227bd462,1930.5900000000004,22,0.2916666666666667
054694fa03fe82cec4b7551487331d74,9983.1,21,0.2857142857142857
66e0557ecc2b4dbea057e93f215f68d8,12480.0,31,0.26666666666666666
71039d19d4303bf9054d69e9a9236699,3537.2000000000025,35,0.2631578947368421
6039e27294dc75811c0d8a39069f52c0,13670.699999999983,64,0.25675675675675674
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,21940.8,20,0.25
ef990a83bbea832f36ebe81376335aa8,4642.59,43,0.25
a49928bcdf77c55c6d6e05e09a9b4ca5,8816.699999999983,98,0.25
602044f2c16190c2c6e45eb35c2e21cb,3739.1599999999967,50,0.23636363636363636
