category,orders,gmv,late_rate,avg_delivery_days,median_delivery_days,avg_review
audio,350,50688.50000000011,0.1270718232044199,13.267955801104973,10.5,3.8319444444444444
fashion_underwear_beach,121,9541.549999999987,0.12598425196850394,13.606299212598426,10.0,3.976923076923077
christmas_supplies,128,8800.81999999999,0.12,15.673333333333334,13.0,4.02054794520548
books_technical,260,19096.059999999983,0.11026615969581749,10.577946768060837,9.0,4.363636363636363
home_confort,397,58572.04000000023,0.10256410256410256,13.461538461538462,11.0,3.8333333333333335
construction_tools_lights,244,41080.00000000006,0.09966777408637874,9.67109634551495,8.0,4.0508474576271185
food,450,29393.41000000016,0.09819639278557114,9.496993987975952,7.0,4.218181818181818
electronics,2550,160246.7399999967,0.09747160131916453,12.808721143275925,11.0,4.037117903930131
Unknown,1451,179535.2799999979,0.0936890045543266,12.736499674690956,11.0,3.839836375078666
health_beauty,8836,1258681.3399999682,0.09054410987849974,11.913576333861595,9.0,4.141826588791544
office_furniture,1273,273960.69999999716,0.08932853717026379,20.786570743405274,19.0,3.48896839594514
baby,2885,411764.8900000044,0.08786049631120053,12.45137491616365,10.0,4.010690789473684
musical_instruments,628,191498.879999999,0.08602150537634409,12.929339477726575,10.0,4.1513353115727005
furniture_decor,6449,729762.4900000411,0.08431372549019608,12.835171568627452,11.0,3.9073333333333333
bed_bath_table,9417,1036988.6800000712,0.08399525244225327,12.750479320734046,10.0,3.898333636860317
telephony,4199,323667.529999989,0.08329571106094807,12.796613995485327,11.0,3.9459219858156027
auto,3897,592720.1100000107,0.08285024154589372,12.155351534187002,10.0,4.064885496183206
watches_gifts,5624,1205005.6799999995,0.08277863116572794,12.588526549428035,10.0,4.018855218855219
home_construction,490,83088.12,0.08221476510067115,13.15268456375839,11.0,3.9382303839732886
construction_tools_construction,748,144677.58999999968,0.08078602620087336,10.641921397379912,9.0,4.0519480519480515
stationery,2311,230943.22999999588,0.08029197080291971,12.671532846715328,10.0,4.195478191276511
garden_tools,3518,485256.46000001475,0.07966260543580131,13.661668228678538,12.0,4.045538818076477
furniture_living_room,422,68916.5600000002,0.07878787878787878,13.775757575757575,12.0,3.9016064257028114
consoles_games,1062,157465.21999999895,0.0780532598714417,13.535353535353535,11.0,4.023534635879218
computers_accessories,6689,911954.3200000388,0.07770800627943485,13.153604605521393,11.0,3.9326008738113596
art,202,24202.639999999992,0.07614213197969544,11.304568527918782,9.0,3.9371980676328504
industry_commerce_and_business,235,39669.610000000044,0.07547169811320754,10.651515151515152,8.0,4.09811320754717
toys,3886,483946.6000000053,0.07419354838709677,11.633159592951104,9.0,4.159564046044575
sports_leisure,7720,988048.9700000401,0.07413118254062388,12.07864768683274,10.0,4.10703880666589
perfumery,3162,399124.87000000145,0.07335329341317365,11.702095808383234,9.0,4.166079295154185
costruction_tools_garden,194,25715.89000000004,0.07327586206896551,11.844827586206897,10.0,4.046218487394958
home_appliances_2,234,113317.7399999999,0.06926406926406926,13.86147186147186,11.0,4.139830508474576
home_appliances,764,80171.53000000006,0.06763925729442971,11.221485411140584,9.0,4.166449652777778
cool_stuff,3632,635290.8500000009,0.06750941366325981,12.310112963959117,10.0,4.146597554492291
computers,181,222963.1299999998,0.06532663316582915,13.43718592964824,11.0,4.175
books_general_interest,512,46856.8800000002,0.06517690875232775,11.548507462686567,10.0,4.446265938069216
housewares,5884,632248.6600000213,0.06490066225165562,10.867844002943341,9.0,4.054784619832321
food_drink,227,15179.47999999998,0.06319702602230483,10.806691449814126,9.0,4.312274368231047
fashion_bags_accessories,1864,152823.53999999765,0.062468513853904284,11.025692695214106,9.0,4.14529702970297
pet_shop,1710,214315.40999999666,0.061330561330561334,11.165280665280665,9.0,4.184305627258647
small_appliances,630,190648.57999999935,0.05927051671732523,10.7370820668693,9.0,4.148588410104012
fashion_shoes,240,23562.770000000062,0.058365758754863814,15.396887159533074,14.0,4.238372093023256
fashion_male_clothing,112,10797.81999999998,0.056,12.896,11.0,3.6412213740458017
signaling_and_security,140,21509.230000000018,0.05583756345177665,10.431472081218274,9.0,4.086294416243655
drinks,297,22428.70000000004,0.055401662049861494,10.34349030470914,8.0,4.037533512064343
construction_tools_safety,167,40544.52000000005,0.0546448087431694,11.857923497267759,9.0,3.844559585492228
luggage_accessories,1034,140429.97999999832,0.05385329619312906,10.617455896007428,9.0,4.315257352941177
kitchen_dining_laundry_garden_furniture,248,46328.37000000006,0.043795620437956206,11.795620437956204,9.0,3.967741935483871
agro_industry_and_commerce,182,72530.47000000002,0.043689320388349516,11.58252427184466,9.5,4.0
fixed_telephony,217,59582.99999999998,0.043137254901960784,12.674509803921568,11.0,3.681992337164751
market_place,280,28378.470000000096,0.04262295081967213,12.124590163934426,11.0,4.019417475728155
air_conditioning,253,55024.96000000008,0.03806228373702422,12.193771626297577,9.0,3.969178082191781
