segment,customers,monetary,avg_recency,avg_frequency,customer_share
Needs Attention,30142,4266933.059999935,400.6198327914538,1.036792515426979,0.3173176123802506
Loyal,27733,3125591.609999896,193.25060397360545,1.0347960912991743,0.2919570481103274
At Risk,15341,2162292.8099999772,444.4590313538883,1.0,0.16150121065375303
Potential Loyalists,15168,2117761.9999999716,139.43446729957805,1.0,0.1596799663122434
Champions,6606,1821821.2600000012,140.33257644565546,1.173024523160763,0.06954416254342563
