category,gmv,orders,gmv_rank,cumulative_gmv_share,within_80pct
health_beauty,1258681.3399999682,8836,1,0.09260699940213643,True
watches_gifts,1205005.6799999995,5624,2,0.18126483259710044,True
bed_bath_table,1036988.6800000712,9417,3,0.25756087911574616,True
sports_leisure,988048.9700000401,7720,4,0.33025620514169446,True
computers_accessories,911954.3200000388,6689,5,0.3973528963240881,True
furniture_decor,729762.4900000411,6449,6,0.4510448931206221,True
cool_stuff,635290.8500000009,3632,7,0.4977861750451911,True
housewares,632248.6600000213,5884,8,0.5443036290011106,True
auto,592720.1100000107,3897,9,0.587912784970966,True
garden_tools,485256.46000001475,3518,10,0.6236153438895762,True
toys,483946.6000000053,3886,11,0.6592215303583989,True
baby,411764.8900000044,2885,12,0.6895169750513759,True
perfumery,399124.87000000145,3162,13,0.7188824350950346,True
telephony,323667.529999989,4199,14,0.7426961501352533,True
office_furniture,273960.69999999716,1273,15,0.7628527041214348,True
stationery,230943.22999999588,2311,16,0.7798442641635799,True
computers,222963.1299999998,181,17,0.7962486913926424,True
pet_shop,214315.40999999666,1710,18,0.8120168659218198,False
musical_instruments,191498.879999999,628,19,0.8261063229607793,False
small_appliances,190648.57999999935,630,20,0.8401332195016296,False
Unknown,179535.2799999979,1451,21,0.8533424592347161,False
electronics,160246.7399999967,2550,22,0.8651325519959024,False
consoles_games,157465.21999999895,1062,23,0.876717995484242,False
fashion_bags_accessories,152823.53999999765,1864,24,0.8879619291373877,False
construction_tools_construction,144677.58999999968,748,25,0.8986065276269727,False
luggage_accessories,140429.97999999832,1034,26,0.9089386098312756,False
home_appliances_2,113317.7399999999,234,27,0.9172759193209291,False
home_construction,83088.12,490,28,0.9233890960517169,False
home_appliances,80171.53000000006,764,29,0.929287685785937,False
agro_industry_and_commerce,72530.47000000002,182,30,0.9346240874457304,False
furniture_living_room,68916.5600000002,422,31,0.9396945970559845,False
fixed_telephony,59582.99999999998,217,32,0.9440783935500024,False
home_confort,58572.04000000023,397,33,0.9483878090477027,False
air_conditioning,55024.96000000008,253,34,0.9524362494876181,False
audio,50688.50000000011,350,35,0.9561656365373977,False
small_appliances_home_oven_and_coffee,47445.71000000001,75,36,0.9596564365500555,False
books_general_interest,46856.8800000002,512,37,0.9631039136201026,False
kitchen_dining_laundry_garden_furniture,46328.37000000006,248,38,0.9665125057685268,False
construction_tools_lights,41080.00000000006,244,39,0.96953495109646,False
construction_tools_safety,40544.52000000005,167,40,0.9725179986876796,False
industry_commerce_and_business,39669.610000000044,235,41,0.9754366751094282,False
food,29393.41000000016,450,42,0.9775992840365589,False
market_place,28378.470000000096,280,43,0.9796872191403905,False
costruction_tools_garden,25715.89000000004,194,44,0.9815792559364992,False
art,24202.639999999992,202,45,0.9833599559411647,False
fashion_shoes,23562.770000000062,240,46,0.9850935777546911,False
drinks,22428.70000000004,297,47,0.9867437608006165,False
signaling_and_security,21509.230000000018,140,48,0.9883262941920707,False
furniture_bedroom,20028.78000000001,95,49,0.9897999040395683,False
books_technical,19096.059999999983,260,50,0.9912048893688998,False
costruction_tools_tools,15903.949999999992,97,51,0.9923750164227747,False
food_drink,15179.47999999998,227,52,0.9934918408727859,False
fashion_male_clothing,10797.81999999998,112,53,0.9942862863599053,False
fashion_underwear_beach,9541.549999999987,121,54,0.9949883022610432,False
christmas_supplies,8800.81999999999,128,55,0.9956358192350204,False
tablets_printing_image,7528.409999999996,79,56,0.9961897191286735,False
cine_photo,6933.459999999996,65,57,0.9966998458030506,False
music,6034.3499999999985,38,58,0.9971438208021892,False
dvds_blu_ray,5999.389999999996,59,59,0.9975852236326652,False
books_imported,4639.849999999998,53,60,0.9979265988263071,False
party_supplies,4485.18,39,61,0.9982565942337058,False
furniture_mattress_and_upholstery,4368.08,38,62,0.9985779740532783,False
portateis_cozinha_e_preparadores_de_alimentos,3968.53,14,63,0.9988699571340296,False
fashio_female_clothing,2803.6400000000012,39,64,0.9990762338774376,False
fashion_sport,2119.510000000001,27,65,0.9992321760170921,False
la_cuisine,2054.99,13,66,0.9993833711223612,False
arts_and_craftmanship,1814.0100000000002,23,67,0.9995168362160642,False
diapers_and_hygiene,1567.5900000000001,27,68,0.9996321710522769,False
pc_gamer,1545.95,8,69,0.9997459137337451,False
flowers,1110.0399999999997,29,70,0.9998275845032636,False
home_comfort_2,760.2699999999998,24,71,0.9998835210784697,False
cds_dvds_musicals,730.0,12,72,0.9999372305499739,False
fashion_childrens_clothes,569.85,8,73,0.9999791570463253,False
security_and_services,283.28999999999996,2,74,0.9999999999999999,False
